type,features
max,"[122526.15672910391, 3880900.064174381, 3585026.809709374, 961083.6696348104, 1746704.7793033074, 2940300.3155411514, 57345.14716407024, 49394.27732301675, 44493.015716971466, 442.0, 4.0, 2268.0, 5.0, 23.0, 13.0, 2.0, 23.0, 18481.0, 833211.655, 7464599.695]"
min,"[686.2830196801713, 0.0, 0.0, 0.0, 0.0, 0.0, 1966.010908050059, 478.21447621758415, 895.350303865815, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mean,"[36087.4875707658, 266837.67340070434, 524836.7190455087, 167477.2262085475, 501453.58184229594, 681673.6736280442, 21513.336387150535, 13064.655243263369, 11089.105043442705, 119.275, 1.2, 692.875, 0.625, 3.95, 2.975, 0.15, 4.475, 2509.825, 321929.4196250001, 1764936.9597500004]"
